id,title,type,genres,averageRating,numVotes,releaseYear
tt0000009,Miss Jerry,movie,Romance,5.4,215,1894
tt0000147,The Corbett-Fitzsimmons Fight,movie,"Documentary, News, Sport",5.2,539,1897
tt0000502,Bohemios,movie,,4.4,18,1905
tt0000574,The Story of the Kelly Gang,movie,"Action, Adventure, Biography",6,941,1906
tt0000591,The Prodigal Son,movie,Drama,5.7,28,1907
tt0000615,Robbery Under Arms,movie,Drama,4.3,27,1907
tt0000630,Hamlet,movie,Drama,3.1,30,1908
tt0000675,Don Quijote,movie,Drama,4.2,22,1908
tt0000679,The Fairylogue and Radio-Plays,movie,"Adventure, Fantasy",5.2,78,1908
tt0000838,A Cultura do Cacau,movie,,,,1909
tt0000842,De Garraf a Barcelona,movie,,,,1909
tt0000846,Un día en Xochimilco,movie,,,,1909
tt0000850,Los dos hermanos,movie,,,,1909
tt0000859,Fabricación del corcho en Sant Feliu de Guixols,movie,,,,1909
tt0000862,Faldgruben,movie,,4.4,18,1909
tt0000867,Fiesta de toros,movie,,,,1909
tt0000868,Fiestas de Santa Lucía - Belenes,movie,,,,1909
tt0000869,Fiestas en La Garriga,movie,,,,1909
